GTIN,EXTERNAL_ID,NAME,STOCK,PRICE,MPN,DESCRIPTION,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,IMAGE11,IMAGE12,IMAGE13,IMAGE14,IMAGE15,IMAGE16,AI_COCREATED,CATEGORY,BRAND,COLOR,SIZE,MATERIAL
,2938f7ed-e0ba-46a8-859e-8f92320c9a23,Filtr powietrza Knecht LX 876/1 wkład filtra OPEL RENAULT NISSAN – NOWY,1,46,,"Na sprzedaż oferuję fabrycznie nowy, oryginalny filtr powietrza (wkład filtra) renomowanej marki Knecht (grupa MAHLE). 

Oznaczenie katalogowe: LX 876/1 (LX876/1)
Stan: Fabrycznie nowy, w oryginalnym opakowaniu producenta. 

Filtry powietrza marki Knecht charakteryzują się najwyższą skutecznością separacji zanieczyszczeń, takich jak kurz, piasek czy sadza. Zapewniają optymalny przepływ powietrza do komory spalania, co chroni delikatne elementy silnika (pierścienie tłokowe, gładzie cylindrów oraz panewki) przed przedwczesnym zużyciem i gwarantuje pełną efektywność pracy jednostki napędowej. 

Zastosowanie:
Filtr dedykowany do wielu bardzo popularnych samochodów dostawczych oraz osobowych (odpowiednik m.in. numerów OE: Opel 4416392, 4500935, 9161235, Renault 7701044595, Nissan 16546-00QAC): 

* OPEL (modele: Movano A, Vivaro A – głównie przy jednostkach diesla m.in. 1.9 DTI / CDTI, 2.5 DTI / CDTI)
* RENAULT (modele: Master II, Trafic II, Avantime, Espace III, Laguna II)
* NISSAN (modele: Interstar, Primastar)",https://parts.dcplatforms.pl/ogloszenie/2dc8cdec-b5f2-4687-9d68-1b326efcd018/01.jpg,https://parts.dcplatforms.pl/ogloszenie/2dc8cdec-b5f2-4687-9d68-1b326efcd018/02.jpg,https://parts.dcplatforms.pl/ogloszenie/2dc8cdec-b5f2-4687-9d68-1b326efcd018/03.jpg,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,3a111949-1c91-4d0f-97f6-3e908c9bd563,Uszczelka kolektora wydechowego Victor Reinz 71-38512-00 RENAULT OPEL NISSAN,1,40,,"Na sprzedaż oferuję fabrycznie nowy, oryginalny pasek rozrządu renomowanej niemieckiej marki ContiTech (grupa Continental). 

Oznaczenie katalogowe: CT1071
Parametry: 154 Z (liczba zębów: 154, szerokość: 29 mm)
Kod EAN: 4010858082215
Stan: Fabrycznie nowy, w oryginalnym, nienaruszonym pudełku producenta. 

Paski rozrządu marki ContiTech to komponenty najwyższej klasy premium, produkowane z zaawansowanych mieszanek syntetycznego kauczuku wzmacnianego włóknem szklanym. Gwarantują maksymalną odporność na zerwanie, rozciąganie oraz działanie skrajnych temperatur, zapewniając w pełni bezpieczną i zsynchronizowaną pracę układu rozrządu. 

Zastosowanie:
Pasek dedykowany do japońskich modeli samochodów wyposażonych głównie w silniki benzynowe o pojemności 2.4 litra (m.in. jednostki 2.4 GDI): 

* MITSUBISHI (modele: Galant VI, Space Runner, Space Wagon)",https://parts.dcplatforms.pl/ogloszenie/b03e6f39-f30d-4eeb-a672-a67d7bbe682e/01.jpg,https://parts.dcplatforms.pl/ogloszenie/b03e6f39-f30d-4eeb-a672-a67d7bbe682e/02.jpg,https://parts.dcplatforms.pl/ogloszenie/b03e6f39-f30d-4eeb-a672-a67d7bbe682e/03.jpg,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,a68ba40a-2781-404b-91e6-97fffab356d0,Pasek rozrządu ContiTech CT1071 154 Z MITSUBISHI – NOWY,1,91,,"Na sprzedaż oferuję fabrycznie nowy, oryginalny pasek rozrządu renomowanej niemieckiej marki ContiTech (grupa Continental). 

Oznaczenie katalogowe: CT1071
Parametry: 154 Z (liczba zębów: 154, szerokość: 29 mm)
Kod EAN: 4010858082215
Stan: Fabrycznie nowy, w oryginalnym, nienaruszonym pudełku producenta. 

Paski rozrządu marki ContiTech to komponenty najwyższej klasy premium, produkowane z zaawansowanych mieszanek syntetycznego kauczuku wzmacnianego włóknem szklanym. Gwarantują maksymalną odporność na zerwanie, rozciąganie oraz działanie skrajnych temperatur, zapewniając w pełni bezpieczną i zsynchronizowaną pracę układu rozrządu. 

Zastosowanie:
Pasek dedykowany do japońskich modeli samochodów wyposażonych głównie w silniki benzynowe o pojemności 2.4 litra (m.in. jednostki 2.4 GDI): 

* MITSUBISHI (modele: Galant VI, Space Runner, Space Wagon)",https://parts.dcplatforms.pl/ogloszenie/6048584a-c619-4636-86d8-bceacd81afe8/01.jpg,https://parts.dcplatforms.pl/ogloszenie/6048584a-c619-4636-86d8-bceacd81afe8/02.jpg,https://parts.dcplatforms.pl/ogloszenie/6048584a-c619-4636-86d8-bceacd81afe8/03.jpg,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,981eb7d2-6984-428d-90bf-7dcff8dce90c,Zestaw filtr powietrza + kabinowy Maxgear AF-9756 KF-6383 BMW – NOWY,1,41,,"Na sprzedaż oferuję fabrycznie nowy, oryginalny zestaw filtrów serwisowych (filtr powietrza oraz komplet filtrów kabinowych) znanej marki Maxgear. 

W skład sprzedawanego zestawu wchodzą: 

1. Filtr powietrza Maxgear AF-9756 (numer artykułu: 26-0052, cross-reference: Mann C3087, Knecht LX1282, Filtron AP130/3)
2. Filtr kabinowy Maxgear KF-6383 KPL (numer artykułu: 26-1041, komplet 2 sztuk w opakowaniu, cross-reference: Mann CU2301-2, Filtron K1282-2X)

Stan: Fabrycznie nowy, filtry w oryginalnych, nienaruszonych kartonach, fabrycznie spięte w komplet. 

Zestaw filtrów Maxgear zapewnia doskonałe oczyszczanie powietrza dolotowego do silnika oraz idealnie czyste powietrze wewnątrz kabiny pasażerskiej. Filtry kabinowe skutecznie zatrzymują kurz i pyłki, chroniąc zdrowie pasażerów, natomiast filtr powietrza chroni elementy silnika przed mechanicznym zużyciem. 

Zastosowanie:
Zestaw dedykowany do popularnych modeli samochodów segmentu premium (głównie wersje silnikowe 1.6, 2.0 Benzyna oraz Diesel, m.in. silniki N20, B47, N47N): 

* BMW (modele: Seria 1 F20 / F21, Seria 2 F22 / F23 / F87, Seria 3 F30 / F31 / F34 / F80, Seria 4 F32 / F33 / F36 / F82)",https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/01.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/02.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/03.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/04.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/05.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/06.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/07.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/08.jpg,https://parts.dcplatforms.pl/ogloszenie/ef96ff01-784e-4e6d-9e58-b5769eed7654/09.jpg,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,427dad6a-ae57-4786-9ffa-d4c74e1edd3a,Filtr kabinowy Herth+Buss Jakoparts J1347006 przeciwpyłkowy SUBARU – NOWY,1,33,,,https://parts.dcplatforms.pl/ogloszenie/7682335d-0a65-4990-8bf6-07909bce64f8/01.jpg,https://parts.dcplatforms.pl/ogloszenie/7682335d-0a65-4990-8bf6-07909bce64f8/02.jpg,,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,0a827035-b812-4fda-9439-bba73915f5d4,Filtr powietrza Herth+Buss Jakoparts J1327018 wkład filtra SUBARU TOYOTA – NOWY,1,36,,,https://parts.dcplatforms.pl/ogloszenie/576ae289-8c2e-4e62-a959-b2401ceed784/01.jpg,https://parts.dcplatforms.pl/ogloszenie/576ae289-8c2e-4e62-a959-b2401ceed784/02.jpg,,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,b6a6bb71-d641-4953-9897-258cd247bd58,Filtr kabinowy Purro PUR-PC3018C-2 węglowy komplet 2 szt. BMW – NOWY,1,25,,,https://parts.dcplatforms.pl/ogloszenie/5fd13f8f-9834-48e9-bf7e-70198161a604/01.jpg,https://parts.dcplatforms.pl/ogloszenie/5fd13f8f-9834-48e9-bf7e-70198161a604/02.jpg,https://parts.dcplatforms.pl/ogloszenie/5fd13f8f-9834-48e9-bf7e-70198161a604/03.jpg,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,a84cf6c4-64b3-4610-a3d3-74488b8c7ce6,Filtr kabinowy Filtron K 1318A węglowy AUDI – NOWY,1,68,,,https://parts.dcplatforms.pl/ogloszenie/529f0888-f73c-45d3-a49e-7bac44165e3f/01.jpg,https://parts.dcplatforms.pl/ogloszenie/529f0888-f73c-45d3-a49e-7bac44165e3f/02.jpg,https://parts.dcplatforms.pl/ogloszenie/529f0888-f73c-45d3-a49e-7bac44165e3f/03.jpg,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,365c165f-5f9a-4ac0-940f-d334df09f3c8,Filtr kabinowy Maxgear KF-6291 26-0467 przeciwpyłkowy HONDA – NOWY,1,16,,,https://parts.dcplatforms.pl/ogloszenie/c7b51b0e-0b97-44a2-b81f-1497a568ab10/01.jpg,https://parts.dcplatforms.pl/ogloszenie/c7b51b0e-0b97-44a2-b81f-1497a568ab10/02.jpg,https://parts.dcplatforms.pl/ogloszenie/c7b51b0e-0b97-44a2-b81f-1497a568ab10/03.jpg,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
,84e8610b-eba2-48a6-bcb6-01344fc3cf1b,Zestaw uszczelek pokrywy zaworów góry silnika BGA HN4368 FORD – NOWY,1,110,,,https://parts.dcplatforms.pl/ogloszenie/64eebf85-e431-477e-8979-c093ed768a09/01.jpg,https://parts.dcplatforms.pl/ogloszenie/64eebf85-e431-477e-8979-c093ed768a09/02.jpg,,,,,,,,,,,,,,,,Motoryzacja / Części samochodowe / Osobowe,,,,
